Name, Email, Fax Number, Phone Number, Website, Address, Advertisements
"A & A Klassische Yachten", "info@baben.de", "", "+49/0172-4006543", "", "Haidrath 3
21521 Wohltorf
", "25"
"A. Riedl Yachthandel", "office@bhoote-riedl.at", "", "+43/676-5858584", "http://www.boote-riedl.at/", "Wiegelegasse 15 (Südring)
9020 Klagenfurt
", "8"
"Abayachting", "info@abayachting.com", "", "0039/011-19854240", "", "Viale Gramsci 16
10093 Collegno
", "79"
"Abbruch Büchert GmbH", "m.buechert@abbruchbuechert.de", "+49/381-3753590", "+49/381-3753550", "", "m.buechert@abbruchbuechert.de
18146 Rostock
", "2"
"ABC Austria Boote Center", "m.ihmels19@boot24.com", "", "+43/6602-013130", "", "Alte Poststraße 306
8053 Graz
", "10"
"ABS Marine Sales", "sales@amoyachts.com", "", "+34/00-650801839", "", "Local 106, Marina Botafoch
07800 Ibiza
", "17"
"ACTIV Yachts", "s.bauch@activyachts.com", "", "+49/176-55407447", "", "Zeglarska 2
83 02 Cedry Wielkie
", "3"
"Admirał Dystrybucja", "patrycja.sz@admiralpowerboats.com", "", "+48/0-570712495", "", "Czatkowska 2a
83-11 Tczew
", "6"
"aGusto Boote", "shop@agusto-boote.de", "", "03834/8857097", "", "Wampener Str. 20
17498 Neuenkirchen
", "6"
"Akman", "enginakman@tutanota.com", "", "00905550598938", "", "1620/2 Sok. No 77 a
35410 Izmir
", "1"
"ALC-Yachting GmbH / www.yachthandel24.de", "info@yachthandel2d.de", "+49/4642-921563", "+49/4642-965959", "", "Am Hafen 23
24376 Kappeln
", "28"
"Alfastreet d.o.o.", "marketing@alfastreet.si", "+386/5-7072100", "+386/5-7072100", "", "Partizanska cesta 129
6210 Sezana
", "11"
"ALUBOATS.PL", "alu@aluboats.pl", "", "+48 601 706 452", "", "J.K.Kluka 44
71-49 Szczecin
", "1"
"amperetta GmbH", "research@amperetta.com", "+49/0331-28838358", "+49/0331-28838350", "", "Berliner Str. 44
14467 Potsdam
", "2"
"Amsterdam Nautic International Yachtbrokers", "info@amsterdamnautic.nl", "", "+31/0-655134356", "", "Werfkade, 6
1033 Amsterdam
", "12"
"AMY-AGENTUR für MOTORBOOTE und YACHTEN-Uwe Brumund", "info@amy-brumund.de", "032.128.219.598", "+49/(0)4921-9995944", "http://amy-brumund.de/", "III. Hafeneinschnitt 4a
26723 Emden
", "22"
"André Dannenberg -Ihr Bootsmakler-", "info@dannenberg-boating.de", "", "0174 6582148", "", "Holunderweg 2
21762 Otterndorf
", "13"
"Anhängercenter-SAVEL", "office@anhaengercenter-savel.at", "", "+43/699-11383626", "http://www.anhaengercenter-savel.at/", "Wienerstraße 83
2325 Himberg
", "8"
"Anna Blume Bootcharter", "mail@anna-blume-charter.de", "", "+49 160-905 11 720", "http://www.anna-blume-charter.de/de/gebrauchtboot/flaggschiff/flaggschiff.htm", "Görlitzer Ufer 1
10997 Berlin
", "1"
"anra prorent bvba", "blackton.luc@gmail.com", "", "+32/0-475653426", "", "slijkstraat 10
2520 ranst
", "6"
"aquaparx europe b.v.", "gerard@aquaparx.eu", "", "+31/316-253524", "", "edisonstraat 84
6902p zevenaar
", "2"
"AS NACIONAL Consulting d.o.o.", "info@jaanit.com", "", "00386-41-457-368", "", "Dragočajna 27
1216 Smlednik
", "25"
"ASB PALKA Wioletta Palka", "w.palka@asbpalka.pl", "+48/-504254045", "+48/32-2991137", "", "Rzemieślnicza 14
41-40 Mysłowice
", "1"
"Atlantic Marine Germany", "tp@atlanticmarine.de", "", "+49/385-612141", "", "Rudolf-Diesel-Str. 2
19061 Schwerin
", "5"
"Auto & Boot GmbH Fürstenberg", "auto-hoot.fuerstenberg@t-online.de", "+49/033093-36616", "+49/033093-39236", "", "Steinförderstraße 1
16798 Fürstenberg
", "18"
"Auto von Allmen", "info@autovonallmen.ch", "", "+41/79-6850448", "", "Via alle Brere 3
6598 Tenero
", "1"
"avc exclusive Yachting", "avcmarineinfo@aol.com", "", "0049 1753844805", "", "Jachthafen 9
23743 Grömitz
", "12"
"Aventura point s.r.o.", "ppettke@gmail.com", "", "+420/--723 718 004", "", "Záběhlická 1658/48a
106-0 Praha
", "45"
"Axel Weigold Handelsvertretung", "weigold.axel@gmx.de", "", "+49/(0)1736616270", "", "Max-von-Seubert-Straße 30
68259 Mannheim
", "5"
"az-yachting", "info@az-yachting.de", "", "+49/3327-5699110", "", "Glindowsee
14542 Werder
", "26"
"Baia Boat Service", "info@baiaboatservice.it", "+39/0365-21001", "+39/0365-21918", "", "Corso Zanardelli, 162
I-250 Gardone Riviera (Bs)
", "15"
"Baltic Yachtpoint GmbH", "info@baltic-yachtpoint.de", "+49/0381-20373884", "+49/0381-20373883", "", "Am Strande 2
18055 Rostock
", "51"
"BARCHE BELLANDI S.R.L.", "vendite@nauticabellandi.com", "+39/030-09911988", "+39/030-9120364", "", "Via Catullo 12
25017 Lonato del Garda
", "23"
"Barchelettriche Srl", "info@barchelettriche.com", "", "+393357623889", "", "Porto Turistico box n. 15
16043 Chiavari
", "1"
"Bargen Boote (Viktor Bargen)", "info@bargen-boote.de", "+49/05221-1021720", "+49/0172-7525031", "", "Meerbrede 9
32107 Bad Salzuflen
", "23"
"BARTBOATS sp. z o.o.", "bartboats@gmail.com", "", "+48/506180600", "", "Gdańska 37
89-60 Chojnice
", "10"
"Bartels-Automobile Gmbh & Co. KG", "gasaschwili@bartels-automobile.de", "051359253218", "051359253222", "", "Mellendorfer Str. 33
30938 Burgwedel
", "1"
"bcm-yachtsales gmbH", "info@bcm-yachtsales.de", "", "+49/(0)251-39469239", "", "Wersegrund 13
48157 Münster
", "11"
"Beautifulboats", "Stefan.Naust@heautifulboats.eu", "", "+491712398736", "http://www.beautifulboats.eu/", "Potthoffstrasse 10a
58332 Schwelm
", "1"
"Beekhuis Yachtbrokers", "info@beekhuisyachtbrokers.com", "", "+31/(0)6-19730566", "", "Meidoornlaan 8
7875 Exloo
", "53"
"Bernard Gallay Yacht Brokerage", "info@bernard-gallay.com", "+33/467-66 34 67", "+33/467-66 39 93", "", "1 rue Barthez
34000 Montpellier
", "84"
"Best Agenzia Nautica di Lucia Meneghin & C. sas", "info@bestnautica.it", "", "+39/0431-53700", "", "Piazzetta dell'Imbarcadero 20/A
33053 Latisana
", "57"
"BestBoats International Yachtbrokers", "info@bhesthoats.nl", "", "+31/475-743705", "", "Maashaven 4
6041 Roermond
", "40"
"BHZ Starter sp. z o.o.", "witoldpawlowski@interia.pl", "", "+48/58-3047566", "", "II Brygady 162
80-18 Gdańsk
", "1"
"BjörnBoote, Ingo Koffmann", "ingokoffmann@gm:.de", "+49/03303-541771", "+49/03303-541758", "", "Berliner Str.1
16540 Hohen Neuendorf
", "9"
"Black Forest Boats", "sven_moschberger@ueb.de", "", "+49/7444-2201", "", "Fluorner Str. 48
72275 Alpirsbach
", "5"
"Blohm GbR", "a.blohm@automeister-blohm.de", "+49/3981-445636", "+49/3981-445658", "", "Kranichstr. 21
17235 Neustrelitz
", "4"
"Blu Yachting", "info@blu-yachting.com", "", "+39/348-56 822 62", "", "Piazzetta dell Imbarcadero 51/L
I - 3 Aprilia Marittima (UD)
", "23"
"Blue Sailing GmbH", "Nils.schuerg@hluesailing-bremen.de", "+49 (0) 0171- 277425", "+49 (0) 421- 34 660 ", "", "Ferdinand-Porsche-Str. 13
28237 Bremen
", "18"
"BlueCraft GmbH", "info@bluecraft.de", "+49/0281-98 53 204", "+49/0281-98 54 720", "", "Rudolf Diesel Straße 46
46485 Wesel
", "13"
"BM YACHTING oHG", "info@bm-yachting.de", "+49/461-8079401", "+49/461-8079400", "", "Am Industriehafen 2
24937 Flensburg
", "19"
"boat lounge", "info@boat-lounge.com", "+49/030-3450699610", "+49/030-345069960", "http://www.boat-lounge.com/riva-boote-verkauf/", "Wiebestraße 36 - 37
10553 Berlin
", "16"
"Boatme", "biuro@boatme.pl", "", "+48506389268", "http://www.boatme.pl/", "Księcia Witolda
50-21 Wrocław
", "4"
"Boats Baltica", "p.pinno@boatshaltica.com", "", "+49/+49-(0)176 435 2", "", "ul. Kolumba 8
70-03 Stettin
", "1"
"Boats&Barcos Mediterraneos", "toby@boats-barcos.com", "", "+34/00-966444111", "", "C/Travesia Jose Huertas Morion N2
03181 Torrevieja
", "11"
"bodenseenautic busse gmbh", "dorn@bodenseenautic.de", "", "+49/07533-8030997", "", "Hegnerstr. 10
78465 Konstanz-Dettingen
", "35"
"BootCenter Konstanz GmbH & Co. KG", "info@bootcenter.com", "+49/0-7531-893322", "+49/0-7531-89330", "http://www.boatshop24.com/", "Reichenaustr. 45
78467 Konstanz
", "27"
"Boote Koch", "info@hoote-koch.de", "", "+49/163-3343088", "", "Solmstraße 24
44359 Dortmund
", "61"
"Boote Pfister GmbH", "info@bootepfister.de", "+49(0)9723 9371 21", "+49(0)9723 9371  0", "", "Wahlweg 6
97525 Schwebheim / Schweinfurt
", "25"
"Boote Polch KG", "info@hootepolch.de", "+49/0 65 41-2930", "+49/0 65 41-2010", "", "Zum Hafen 18
56841 Traben-Trarbach
", "52"
"Boote und Zubehör Bert Spiegel", "info@boote-spiegel.de", "", "039600 29648", "", "Markower Str. 5
17153 Ivenack
", "1"
"Boote Weidenauer", "info@boote-weidenauer.de", "", "+49/6206-57 094", "", "Hafenstrasse 1
68623 Lampertheim
", "41"
"Boote Yachten Marina Saal GmbH", "info@marinasaal.de", "+49/9441-688666", "+49/9441-688660", "", "Hafenstr. 39
93342 Saal/Donau
", "20"
"Boote-Gauert", "m.ihmels35@boot24.com", "", "", "", "

", "20"
"Bootezentrum Nürnberg Fürth", "info@bootezentrum.de", "+49/911-8013518", "+49/911-8013517", "", "Melli Beese Str. 14
90768 Fürth
", "86"
"Bootsbau Markus Hamma", "kontakt@bootshau-hamma.de", "+49/07543-50794", "+49/07543-50794", "", "Argenstrasse 76
88079 Kressbronn
", "2"
"Bootscenter Keser GmbH", "bootscenter-keser@t-online.de", "", "+49/030-3620800", "", "Heerstr. 199
13595 Berlin
", "19"
"Bootscenter Kiel GmbH", "info@bootscenter-kiel.de", "+49/431-705 50 72", "+49/431-705 50 31", "", "Haßberg 6
24113 Kiel
", "23"
"Bootscenter Müritz e.K.", "verkauf@bootscenter-mueritz.de", "+49/039931-159515", "+49/039931-15950", "", "Plauerstrasse 5
17207 Röbel/Müritz
", "24"
"Bootshaus Kern", "info@k-e-r-n.de", "", "+7/06206-156492", "", "an der Wormser Str. 42a
68623 Lampertheim
", "2"
"Bootskontor Uhlig", "die-bootshalle@gmx.de", "0179-321 25 11", "0151-11 11 10 10", "", "Dorfstr. 53
16816 Nietwerder
", "11"
"Bootsscheune Berlin", "megalodonboats@aol.com", "+49/03301-7070146", "+49/03301-7070145", "", "Germendorfer Dorfstraße 48
16515 Oranienburg OT. Germendorf
", "3"
"Bootsservice Enk GmbH", "info@bootsservice-enk.de", "+7/02672-1576", "+7/02672-2431", "", "Am Laach 10
56253 Treis-Karden
", "92"
"Bootsservice Menken", "menken.m@arcor.de", "+49/821-2993718", "+49/821-2990310", "", "Werner von Braun Straße 10
86368 Gersthofen
", "19"
"BootsService und BootsAgentur Thomas Goetzke", "thomas@yachthafen-goetzke.de", "", "+49/08157-924370", "", "Am See 2
82343 Pöcking-Possenhofen
", "1"
